Time (HKT),Latitude,Longitude
Sun 04:19:40 AM,22.307,113.9326
Sun 04:19:56 AM,22.312,113.9497
Sun 04:20:12 AM,22.317,113.9654
Sun 04:20:28 AM,22.3226,113.9814
Sun 04:20:50 AM,22.3303,114.0046
Sun 04:21:14 AM,22.3388,114.032
Sun 04:21:32 AM,22.3357,114.0538
Sun 04:21:50 AM,22.3242,114.068
Sun 04:22:07 AM,22.3067,114.0769
Sun 04:22:23 AM,22.2884,114.0788
Sun 04:22:53 AM,22.2541,114.0808
Sun 04:23:25 AM,22.2173,114.0828
Sun 04:23:55 AM,22.1844,114.0847
Sun 04:24:14 AM,22.1635,114.0921
Sun 04:24:30 AM,22.1517,114.1067
Sun 04:24:55 AM,22.1432,114.135
Sun 04:25:12 AM,22.1432,114.1532
Sun 04:25:29 AM,22.1444,114.1723
Sun 04:25:59 AM,22.1468,114.2047
Sun 04:26:27 AM,22.1494,114.2346
Sun 04:26:43 AM,22.1564,114.2478
Sun 04:27:00 AM,22.1718,114.2589
Sun 04:27:18 AM,22.1843,114.2731
Sun 04:27:35 AM,22.1965,114.288
Sun 04:28:06 AM,22.2172,114.3132
Sun 04:28:24 AM,22.2291,114.3278
Sun 04:28:55 AM,22.2501,114.3532
Sun 04:29:13 AM,22.2668,114.3623
Sun 04:29:32 AM,22.2859,114.3558
Sun 04:29:49 AM,22.2934,114.3406
Sun 04:30:06 AM,22.2926,114.3228
Sun 04:30:23 AM,22.2884,114.305
Sun 04:30:42 AM,22.2782,114.2891
Sun 04:31:04 AM,22.2572,114.2851
Sun 04:31:22 AM,22.2426,114.2939
Sun 04:31:38 AM,22.2341,114.3081
Sun 04:31:57 AM,22.2318,114.3281
Sun 04:32:16 AM,22.2391,114.347
Sun 04:32:35 AM,22.2546,114.3592
Sun 04:32:57 AM,22.2771,114.3596
Sun 04:33:17 AM,22.2936,114.3467
Sun 04:33:36 AM,22.3,114.328
Sun 04:33:57 AM,22.295,114.3059
Sun 04:34:15 AM,22.2818,114.2929
Sun 04:34:32 AM,22.266,114.2889
Sun 04:34:49 AM,22.2505,114.2919
Sun 04:35:08 AM,22.2348,114.3032
Sun 04:35:28 AM,22.2251,114.321
Sun 04:35:48 AM,22.2237,114.3433
Sun 04:36:04 AM,22.2289,114.3585
Sun 04:36:21 AM,22.2406,114.3731
Sun 04:36:38 AM,22.2564,114.3818
Sun 04:36:56 AM,22.2748,114.3838
Sun 04:37:14 AM,22.2918,114.3787
Sun 04:37:37 AM,22.3101,114.363
Sun 04:37:56 AM,22.3191,114.3437
Sun 04:38:13 AM,22.3207,114.3268
Sun 04:38:30 AM,22.3169,114.3097
Sun 04:38:48 AM,22.3071,114.2938
Sun 04:39:06 AM,22.2927,114.283
Sun 04:39:22 AM,22.2772,114.2786
Sun 04:39:42 AM,22.2578,114.2812
Sun 04:39:59 AM,22.243,114.2901
Sun 04:40:17 AM,22.232,114.305
Sun 04:40:33 AM,22.2302,114.3208
Sun 04:40:53 AM,22.2398,114.3402
Sun 04:41:09 AM,22.2523,114.3499
Sun 04:41:28 AM,22.2728,114.3543
Sun 04:41:48 AM,22.2919,114.3484
Sun 04:42:06 AM,22.3045,114.336
Sun 04:42:24 AM,22.3105,114.3195
Sun 04:42:40 AM,22.3097,114.3037
Sun 04:42:56 AM,22.3028,114.2897
Sun 04:43:12 AM,22.291,114.2799
Sun 04:43:29 AM,22.2757,114.2764
Sun 04:43:50 AM,22.2575,114.2827
Sun 04:44:06 AM,22.2472,114.2945
Sun 04:44:23 AM,22.2424,114.3116
Sun 04:44:40 AM,22.2448,114.3277
Sun 04:44:58 AM,22.2505,114.345
Sun 04:45:15 AM,22.2615,114.357
Sun 04:45:33 AM,22.2794,114.3583
Sun 04:45:50 AM,22.2927,114.3478
Sun 04:46:12 AM,22.3001,114.3265
Sun 04:46:28 AM,22.2977,114.3117
Sun 04:46:47 AM,22.287,114.2964
Sun 04:47:05 AM,22.2727,114.2896
Sun 04:47:23 AM,22.2557,114.2899
Sun 04:47:39 AM,22.2431,114.2975
Sun 04:47:57 AM,22.2343,114.3129
Sun 04:48:16 AM,22.2333,114.3313
Sun 04:48:32 AM,22.2399,114.347
Sun 04:48:50 AM,22.2531,114.3581
Sun 04:49:06 AM,22.2703,114.3609
Sun 04:49:24 AM,22.2851,114.3552
Sun 04:49:42 AM,22.2968,114.3408
Sun 04:49:59 AM,22.3001,114.324
Sun 04:50:17 AM,22.2955,114.3068
Sun 04:50:33 AM,22.2864,114.296
Sun 04:50:49 AM,22.2722,114.2895
Sun 04:51:06 AM,22.2567,114.2897
Sun 04:51:24 AM,22.2423,114.2982
Sun 04:51:43 AM,22.2338,114.3145
Sun 04:51:59 AM,22.2332,114.3312
Sun 04:52:19 AM,22.242,114.3497
Sun 04:52:37 AM,22.2552,114.359
Sun 04:52:55 AM,22.2744,114.3601
Sun 04:53:11 AM,22.2872,114.3534
Sun 04:53:27 AM,22.2964,114.3412
Sun 04:53:43 AM,22.2999,114.3236
Sun 04:54:01 AM,22.2959,114.3079
Sun 04:54:17 AM,22.2863,114.2961
Sun 04:54:36 AM,22.2699,114.2893
Sun 04:54:54 AM,22.2525,114.2908
Sun 04:55:14 AM,22.2392,114.3025
Sun 04:55:34 AM,22.2328,114.3208
Sun 04:55:52 AM,22.2355,114.3389
Sun 04:56:09 AM,22.2459,114.3534
Sun 04:56:26 AM,22.2617,114.3607
Sun 04:56:43 AM,22.2775,114.3591
Sun 04:56:59 AM,22.2901,114.3507
Sun 04:57:16 AM,22.2987,114.3349
Sun 04:57:34 AM,22.2991,114.3173
Sun 04:57:52 AM,22.2904,114.3009
Sun 04:58:09 AM,22.2784,114.2931
Sun 04:58:27 AM,22.2616,114.2923
Sun 04:58:45 AM,22.2482,114.3021
Sun 04:59:01 AM,22.2445,114.3174
Sun 04:59:21 AM,22.2472,114.3374
Sun 04:59:37 AM,22.2568,114.3523
Sun 04:59:55 AM,22.2715,114.361
Sun 05:00:13 AM,22.2885,114.3619
Sun 05:00:33 AM,22.3052,114.3532
Sun 05:00:49 AM,22.3148,114.3384
Sun 05:01:08 AM,22.3166,114.3203
Sun 05:01:25 AM,22.3111,114.3051
Sun 05:01:43 AM,22.2992,114.2934
Sun 05:01:59 AM,22.2846,114.2891
Sun 05:02:15 AM,22.2702,114.2926
Sun 05:02:34 AM,22.2614,114.3085
Sun 05:02:52 AM,22.2673,114.3252
Sun 05:03:10 AM,22.2834,114.333
Sun 05:03:27 AM,22.2987,114.3302
Sun 05:03:44 AM,22.3108,114.3181
Sun 05:04:01 AM,22.3144,114.3015
Sun 05:04:17 AM,22.3089,114.2869
Sun 05:04:35 AM,22.2944,114.2786
Sun 05:04:55 AM,22.2775,114.2841
Sun 05:05:13 AM,22.2692,114.2993
Sun 05:05:30 AM,22.2725,114.3168
Sun 05:05:48 AM,22.2851,114.3279
Sun 05:06:07 AM,22.3039,114.3306
Sun 05:06:27 AM,22.3229,114.3265
Sun 05:06:44 AM,22.3343,114.3144
Sun 05:07:01 AM,22.3374,114.2959
Sun 05:07:18 AM,22.3319,114.2825
Sun 05:07:38 AM,22.3171,114.273
Sun 05:07:54 AM,22.3006,114.2754
Sun 05:08:13 AM,22.2889,114.2878
Sun 05:08:30 AM,22.2859,114.3049
Sun 05:08:48 AM,22.2929,114.322
