group,TD-DOA,keyword
Legal,106,RTW
Legal,200,MAB
Legal,224,DS
Legal,339,MAB-2nd
Legal,356,DS
Legal,811,MAB
Normal,495,RTW
Normal,225,RTW
Normal,424,MAB
Legal,379,RTW
Legal,381,MAB
Legal,500,MAB-2nd
Legal,282,MAB
Legal,961,DS-Legal
Legal,313,RTW
Legal,611,DS
Legal,1301,DS-Legal-Succeed
Legal,234,MAB
Legal,367,MAB-2nd
Legal,576,MAB
Normal,438,MAB
Normal,439,RTW
Normal,1009,MAB
Normal,1191,RTW
Legal,584,RTW
Legal,40,file screening
Legal,367,DS-Legal-Succeed
Legal,732,MAB
Legal,245,MAB
Legal,181,MAB
Legal,698,MAB
Normal,498,MAB
Normal,624,MAB-2nd
Normal,624,MAB-2nd
Legal,375,MAB
Legal,440,MAB
Legal,1184,DS - Succeed
Legal,16,file screening
Legal,626,MAB
Legal,892,DS - Succeed
Legal,736,MAB
Legal,736,MAB
Legal,10,file screening
Legal,34,RTW
Legal,131,MAB
Legal,753,MAB
Legal,542,DS
Legal,55,RTW
Legal,265,MAB
Legal,417,DS
Normal,431,RTW
Normal,762,MAB
Normal,143,RTW
Normal,246,MAB
Normal,231,RTW
Normal,247,RTW
Legal,435,MAB
Legal,632,MAB
Legal,636,Legal
Normal,308,RTW
Normal,310,RTW
Normal,399,RTW
Normal,1136,MAB
Legal,112,file screening
Legal,357,MAB
DS,645,MAB
DS,717,DS
DS,855,MAB-2nd
DS,825,DS
Legal,183,MAB
Legal,323,MAB-2nd
Legal,573,RTW
Legal,712,MAB
DS,616,DS
DS,917,MAB
DS,832,MAB
DS,1103,DS - Succeed
DS,1103,DS
Legal,370,MAB
Legal,675,MAB-2nd
Legal,814,RTW
Legal,382,MAB
Legal,582,MAB
Legal,105,RTW
Legal,514,MAB
DS,513,MAB
DS,555,DS
DS,555,DS
DS,518,DS
DS,736,MAB
Legal,29,file screening
Legal,189,RTW
Legal,268,MAB
Legal,198,RTW
Legal,369,MAB
Legal,516,MAB-2nd
Normal,325,MAB
Normal,269,RTW
Normal,325,MAB
Normal,325,MAB
Normal,294,RTW
Normal,818,MAB
DS,417,MAB
DS,634,MAB-2nd
DS,843,DS
DS,974,DS
DS,988,DS
DS,990,DS - Succeed
DS,995,DS - Succeed
DS,1009,DS
DS,122,RTW
DS,513,MAB
DS,634,DS
DS,797,DS
DS,808,MAB-2nd
Legal,249,MAB
Legal,389,MAB-2nd
Normal,22,file screening
Normal,95,RTW
Legal,777,MAB
DS,725,DS
Legal,352,MAB
Legal,392,DS
Legal,534,MAB-2nd
Legal,598,DS
Legal,234,RTW
Legal,554,DS
Legal,866,MAB
Legal,901,DS
Legal,250,MAB
Legal,523,MAB-2nd
Legal,73,RTW
Normal,46,file screening
Normal,376,MAB
Normal,376,MAB
Legal,518,MAB
Legal,456,DS
Normal,214,MAB
Normal,118,RTW
Legal,645,MAB
Legal,792,MAB-2nd
Normal,73,RTW
Legal,399,MAB
Legal,526,RTW
Legal,2611,DS - Succeed
Legal,718,MAB
Legal,1507,DS - Succeed
Legal,329,MAB
Legal,176,MAB
Legal,267,MAB-2nd
Legal,61,file screening
Legal,59,RTW
Legal,71,RTW
Legal,76,RTW
Legal,225,MAB-2nd
Legal,413,HLM
Legal,1205,DS - Succeed
Legal,279,MAB-2nd
Legal,491,file screening
DS,160,file screening
DS,289,DS
Legal,20,file screening
Legal,181,RTW
Legal,233,RTW
Legal,1415,DS - Succeed
Normal,726,RTW
Normal,954,RTW
Normal,1001,RTW
Normal,685,RTW
Normal,284,file screening
Normal,8,RTW
Legal,272,MAB
Legal,96,MAB-2nd
Legal,47,RTW
Legal,104,HLM
Legal,609,MAB
Legal,61,file screening
Legal,76,RTW
Legal,161,MAB
Legal,872,DS
Legal,292,MAB
Legal,291,MAB
Legal,240,RTW
Legal,295,DS
Legal,292,MAB
Legal,323,DS
Legal,439,MAB-2nd
Legal,462,DS
Legal,292,MAB
Normal,574,MAB
Normal,565,RTW
Normal,700,MAB-2nd
Legal,318,MAB
Legal,376,MAB
Legal,558,MAB-2nd
Legal,513,MAB
Legal,625,MAB-2nd
Legal,954,DS - Succeed
DS,-39,MAB
DS,338,RTW
DS,491,DS
Legal,423,Legal
Legal,476,DS
Legal,494,DS
Legal,505,DS
Normal,482,MAB
Legal,28,file screening
Legal,765,MAB-2nd
Legal,678,RTW
Legal,379,MAB
Legal,67,file screening
Legal,67,RTW
Normal,380,MAB
Legal,672,RTW
Normal,28,file screening
Normal,327,MAB
Legal,190,MAB
Legal,169,RTW
Legal,735,DS
Legal,460,MAB
Legal,361,RTW
Legal,600,MAB-2nd
Legal,600,MAB-2nd
Normal,31,file screening
Normal,355,MAB
Normal,268,RTW
Legal,196,RTW
Legal,384,MAB
Legal,585,MAB-2nd
Legal,585,MAB-2nd
DS,40,file screening
DS,440,MAB
DS,435,DS
Legal,346,MAB
Legal,1498,DS
Legal,42,file screening
Legal,180,MAB
Legal,325,MAB
Legal,548,MAB
Legal,680,DS
Legal,702,DS
Legal,13,file screening
DS,268,MAB
DS,245,DS
DS,245,RTW
Legal,213,MAB
Legal,213,MAB
Legal,1183,RTW
Legal,512,MAB
Legal,512,MAB
Legal,842,DS - Succeed
Legal,418,MAB
Legal,889,MAB-2nd
DS,253,DS
DS,599,MAB
DS,589,DS
DS,626,RTW
Legal,109,MAB
Legal,27,file screening
Legal,155,RTW
DS,485,DS
Legal,777,DS
Legal,10,file screening
Legal,151,RTW
Legal,305,MAB
Normal,19,file screening
Legal,1193,DS - Succeed
Legal,196,MAB
Legal,219,RTW
Legal,448,DS
DS,34,file screening
DS,518,DS
DS,429,MAB-2nd
Legal,680,MAB
Legal,110,MAB
Legal,101,RTW
Legal,616,MAB-2nd
Legal,29,file screening
Legal,562,MAB
Legal,622,DS
Legal,639,MAB-2nd
Legal,242,MAB
Legal,303,MAB-2nd
Legal,217,RTW
Legal,308,MAB
Legal,413,RTW
Legal,588,MAB-2nd
Legal,565,MAB
Normal,389,MAB
Normal,389,MAB-2nd
Legal,30,RTW
Legal,36,file screening
Legal,280,RTW
Legal,190,MAB
Normal,130,MAB
Legal,142,RTW
Legal,200,MAB
Normal,225,file screening
Legal,12,file screening
DS,700,DS
Legal,127,RTW
Legal,730,MAB
Legal,81,file screening
Legal,468,MAB
Legal,685,MAB-2nd
Legal,519,MAB
DS,49,RTW
DS,535,file screening
DS,570,file screening
DS,695,DS
Legal,44,file screening
Legal,366,MAB
Legal,164,RTW
Legal,241,RTW
Legal,482,MAB
Legal,482,MAB
Legal,579,MAB-2nd
DS,236,MAB
DS,232,RTW
DS,327,MAB-2nd
DS,671,DS
Normal,958,MAB
DS,58,DS
Legal,92,MAB
Legal,30,file screening
Legal,78,RTW
Legal,87,MAB
Legal,148,MAB
Legal,255,MAB
Legal,162,MAB
Legal,149,MAB
Legal,263,MAB
Legal,263,MAB
Legal,2104,DS - Succeed
Legal,859,DS - Succeed
Normal,106,MAB
Normal,28,RTW
Normal,98,RTW
Legal,968,MAB
Legal,321,RTW
Legal,149,MAB
Normal,99,RTW
Legal,528,MAB
Legal,787,MAB-2nd
Legal,798,DS
Legal,17,file screening
Legal,17,HLM
Legal,17,file screening
Legal,20,file screening
Legal,69,RTW
Legal,14,file screening
Legal,14,file screening
Legal,371,RTW
Legal,724,MAB
Legal,802,DS - Succeed
Legal,828,MAB
Legal,588,MAB
Legal,678,DS
Normal,92,MAB
Legal,27,file screening
Legal,712,DS
Legal,1226,MAB
Legal,370,RTW
Legal,462,Legal
Legal,836,DS
Legal,580,MAB
Legal,527,MAB
Normal,251,MAB
Legal,232,RTW
Legal,264,MAB
Legal,314,DS
Legal,822,MAB
Normal,285,MAB
Normal,285,MAB
Legal,324,MAB
Legal,282,MAB
Legal,21,RTW
Legal,342,DS - Succeed
Legal,540,DS - Succeed
Legal,531,DS
Legal,554,MAB
Legal,799,MAB-2nd
Legal,60,HLM
Legal,60,DS
Legal,110,MAB
Legal,64,file screening
Legal,616,MAB
Legal,46,file screening
Legal,47,file screening
Legal,1912,DS - Succeed
Legal,34,file screening
Legal,34,HLM
Legal,34,RTW
Legal,303,HLM
Legal,539,RTW
Legal,31,file screening
Legal,57,RTW
Legal,57,file screening
Legal,148,MAB
Legal,126,file screening
Legal,175,RTW
Legal,464,MAB
Legal,590,DS - Succeed
Legal,16,file screening
Legal,17,HLM
Legal,17,file screening
Legal,651,RTW
Legal,710,MAB
Legal,680,RTW
Legal,710,MAB
Legal,714,RTW
Legal,710,MAB
DS,33,file screening
DS,180,RTW
DS,387,MAB
DS,546,DS
DS,546,RTW
DS,593,DS
DS,723,MAB
DS,52,file screening
DS,65,RTW
DS,256,DS
DS,264,DS
DS,405,DS - Succeed
DS,405,RTW
DS,438,DS
DS,563,DS
DS,569,DS
DS,569,DS - Succeed
DS,475,MAB
DS,669,DS
DS,692,DS - Succeed
Normal,28,file screening
Normal,30,file screening
Normal,177,RTW
Normal,182,RTW
Normal,196,RTW
Normal,223,MAB
Normal,224,RTW
Normal,91,file screening
Normal,476,MAB
Legal,321,MAB
Legal,426,MAB-2nd
Legal,450,DS
Legal,41,file screening
Legal,41,RTW
Legal,61,RTW
Legal,169,RTW
Legal,516,MAB
Legal,536,RTW
Legal,553,DS-Legal
Legal,553,DS
Legal,568,MAB-2nd
Legal,553,DS - Succeed
Legal,553,DS
