tconst,startYear,title,Country of Origin,HK?,language,runtimeMinutes,genres,averageRating,numVotes
tt0266097,1913,Zhuangzi Tests His Wife,Hong Kong,1,en,,Drama,6.2,18
tt0929419,1938,Diao Chan,Hong Kong,1,\N,90,"Drama,Romance,War",6.7,17
tt0468659,1938,The 800 Heroes,China/Hong Kong,1,en,53,War,7.1,19
tt0193197,1938,Public Enemy,Hong Kong,1,en,,Drama,5.6,11
tt0471186,1939,Orphan Island Paradise,Hong Kong,1,en,100,Drama,7.7,19
tt0270187,1939,Zhongguo Taishan li xian ji,Hong Kong,1,\N,,Adventure,6.5,26
tt3476012,1940,Zhongguo Yeren Wang,Hong Kong,1,\N,,Adventure,1,8
tt0283265,1946,The Birth of Mankind,Hong Kong,1,\N,,Drama,8.1,68
tt0471119,1947,An All-Consuming Love,Hong Kong,1,en,92,"Drama,Romance",6.1,10
tt0192100,1948,The Soul of China,Hong Kong,1,en,141,"Drama,History,War",6.7,9
tt0205345,1948,Sorrows of the Forbidden City,Hong Kong,1,en,120,"Drama,History",6.8,62
tt0193178,1948,富貴浮雲,Hong Kong,1,yue,,Drama,7.2,42
tt0194565,1949,Blood-stained Begonia,Hong Kong,1,en,90,"Crime,Drama",6.4,9
tt5821606,1949,Hong hai er,Hong Kong/Singapore,1,\N,90,"Adventure,Fantasy",6.2,6
tt10021780,1949,Mo fu qing chun,Hong Kong,1,\N,83,"Drama,Musical",6,5
tt0200723,1949,"The Story of Wong Fei Hung, Part Two",Hong Kong,1,en,72,"Action,Drama",6.1,14
tt0201673,1949,黃飛鴻傳,Hong Kong,1,yue,72,\N,6.1,22
tt0200008,1949,Return of the Kuangtung Hero,Hong Kong,1,\N,,\N,2.1,24
tt0193633,1950,The Kid,Hong Kong,1,en,80,Drama,5.9,170
tt0194023,1950,花街,Hong Kong,1,cmn,,Drama,6.4,6
tt0205852,1950,How Inspector Daisen Shattered the Strange Cloaks Gang,Hong Kong,1,en,,Crime,7,9
tt0206293,1950,The Awful Truth,Hong Kong,1,en,,Drama,7.1,11
tt0248710,1950,Dadao Wang Wu Xuezhan Xiao Bawang,Hong Kong,1,\N,,\N,8.2,14
tt0205143,1951,The Flower Girl,Hong Kong,1,en,96,Drama,7.6,15
tt0192524,1951,Infancy,Hong Kong,1,en,,"Drama,Family",7.3,39
tt0205566,1952,The Dividing Wall,Hong Kong,1,en,93,Comedy,7.2,8
tt0186115,1952,Fist Battle Between Fong Sze Yu and Hung Sze Kuan,Hong Kong,1,en,,Adventure,4.2,6
tt0206840,1953,Ga,Hong Kong,1,yue,140,Drama,6.8,8
tt0193622,1953,In the Face of Demolition,Hong Kong,1,en,130,Drama,6.8,67
tt0204958,1953,Spring,Hong Kong,1,en,128,Drama,7.4,11
tt0193439,1953,千萬人家,Hong Kong,1,yue,126,Drama,6.4,32
tt0192215,1953,Fu hoi ming dang,Hong Kong,1,yue,111,Drama,6.3,65
tt0206065,1953,The Peerless Beauty,Hong Kong,1,en,110,Drama,6.7,15
tt0187962,1953,Duel with Wong Fei-Hung,Hong Kong,1,en,,"Action,Adventure",6.7,9
tt0191894,1953,A Mother's Tears,Hong Kong,1,en,,Drama,5.9,28
tt0193181,1953,Blame it on Father,Hong Kong,1,en,,Comedy,6.6,32
tt0192497,1954,Autumn,Hong Kong,1,en,103,Drama,7,7
tt2830452,1954,Thousand Mile Corpse Journey,Hong Kong,1,en,102,"Drama,Fantasy,Horror",6,11
tt0205113,1955,Cold Nights,Hong Kong,1,en,136,Drama,6.5,17
tt0193140,1955,We Owe It to Our Children,Hong Kong,1,en,116,Drama,7.5,41
tt0192959,1955,Love Part One,Hong Kong,1,en,113,Drama,6.8,36
tt0192961,1955,"Love, the Sequel",Hong Kong,1,en,113,Drama,7.5,38
tt0193208,1955,Gu xing xue lei,Hong Kong,1,\N,113,Drama,6.9,76
tt0193179,1955,Foo mo sam,Hong Kong,1,yue,111,Drama,6.7,15
tt0204960,1955,春殘夢斷,Hong Kong,1,cmn,111,Drama,6.8,8
tt0205573,1955,一年之計,Hong Kong,1,cmn,98,Drama,7.6,7
tt0193206,1955,Gu yee hang,Hong Kong,1,yue,,Drama,6.6,32
