Code,latlng,place,name,lyric,artist,lyrics,year
,,柴灣,飛車,柴灣 北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.265500, 114.236967",柴灣,隨風,佢話我屋企住係柴灣要喺南昌轉站 (吓 過咗喇喎),新青年理髪廳,新青年理髮廳,2016
,,北角,飛車,北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.29209784392296, 114.20135537455646",北角,香港香港,北角 再到上環,粉紅A,許日元、劉岳靈,2019
,"22.291046, 114.198952",北角,北京北角,北京北角 真心相愛 好想見面,李克勤,黃偉文,2014
,"22.285283, 114.192803",英皇道,無瑕年代,那年六月英皇道擠滿了人,藍奕邦,王貽興 ,2005
,"22.324749333486654, 114.16775911197928",太子,公主太子,當天的你公主般愛著太子,李克勤,陳少琪,2006
,,太子,飛車,北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
,"22.447977, 114.004226",天水圍,天水、圍城,-,李克勤,林夕,2006
,"22.31414948367057, 114.16819359689059",油尖旺,油尖旺金毛玲,油尖旺金毛玲 最怕有閃電,Serrini,Serrini,2016
,"22.468196, 113.984192",流浮山,我在流浮山滴眼水.jpg,我在流浮山 滴眼水,Serrini,Serrini ,2021
,"22.32951637094713, 114.16198701656799",深水埗,深水埗,住喺深水埗 跳樓邊算大鑊,Novel Fergus,Novel Fergus,2020
,"22.325916690817195, 114.16426446378296",深水埗,詩歌舞街,完場與你去深水埗那邊,my little airport,林阿p,2019
,"22.329999, 114.161339",汝洲街,深水埗,汝州街排跌打,Novel Fergus,Novel Fergus,2020
,"22.325907, 114.159224",通州街公園,深水埗,二胡吹簫係 通公,Novel Fergus,Novel Fergus,2020
,"22.45193027255256, 114.00304040768243",天水圍,天水圍 Gang Gang,記得嗰年02搬到天水圍,TomFatKi,TomFatKi、Billy Choi,2020
,"22.45193027255256, 114.00304040768243",天水圍,暗爽,我天水圍 gang-gang,Biliy Choi,Biliy Choi,2020
,"22.469632, 114.000802",天恆,天水圍 Gang Gang,下一站到天恆你企穩,TomFatKi,TomFatKi、Billy Choi,2020
,"22.452213, 114.001023",新北江,天水圍 Gang Gang,新北江俾人恰我驚驚,TomFatKi,TomFatKi、Billy Choi,2020
,"22.457523, 114.003806",銀座,天水圍 Gang Gang,去銀座搞下細藝,TomFatKi,TomFatKi、Billy Choi,2020
,"22.325258, 114.163733",詩歌舞街,詩歌舞街,詩歌舞街地上有著光點閃閃,my little airport,林阿p,2019
,"22.320901, 114.161546",大角咀,詩歌舞街,那晚看 Russian Red 大角咀表演,my little airport,林阿p,2019
,"22.277693, 114.187182",希雲街,神奇之旅,路過希雲街 當它冰島札幌,許廷鏗,許廷鏗、于逸堯,2017
,"22.211013, 114.029248",長洲,我以後不再去長洲,怎會帶女伴兩日一夜長洲消磨,my little airport,林阿p,2016
,"22.279305, 114.157084",下亞釐畢道,下亞釐畢道,由歌賦街飲到去下亞厘畢道,my little airport,林阿p,2016
,"22.284174, 114.152548",歌賦街,下亞釐畢道,由歌賦街飲到去下亞厘畢道,my little airport,林阿p,2016
,"22.302798, 114.173508",山林道,山林道,-,謝安琪,黃偉文,2016
,"22.342227, 114.184970",獅子山,獅子山下,我哋大家 在獅子山下相遇上,羅文,黃霑,1972
,"22.352275, 114.184937",獅子山,獅子山上,獅子山上遠觀千里,許志安,林若寧,2018
,"22.350733, 114.182097",獅子山,山旯旮,深水灣 淺水灣 獅子山 你以為定會等,馮允謙,黃偉文,2019
,"22.345030, 114.186590",獅子山,睜開眼,回望那獅子山還是會牽掛,RubberBand,RubberBand、Tim Lui,2012
,"22.349640, 114.185433",獅子山,UNCLE,獅子山 日頭猛做,林海峰,林海峰,2021
,"22.345694, 114.189463",獅子山,域多利城,獅子山腳下 頹垣敗瓦 ,Darkness Pool,Darkness Pool,2016
,"22.351753, 114.186404",獅子山,西裝友的心事,齊齊獅子山腳下魂遊 ,林一峰,林一峰,2020
,"22.340930839162503, 114.18796721978777",獅子山,獅子山問答,獅子山下 有許多戶人家,鄧惠欣、黃秀儀,韋然,1982
,,鑽石山,飛車,北角 銅鑼灣 灣仔 中環 金鐘 尖沙咀 油麻地 旺角 太子 九龍塘 沙田 上水 羅湖 深圳 廣州 廈門 台北 福州 南京 上海 北京 中環,羅大佑,林夕,1992
